epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.20826905662336587,0.9329940822952404,0.09703356921590615,0.9713129827142332
2,0.09578298932790301,0.9682009717009371,0.1396419562674862,0.9580728208900331
3,0.07402005465206922,0.9755923461281631,0.11353101452815806,0.9728760573740346
4,0.06667719709310216,0.9774804853899467,0.14477389453519898,0.9675432144170651
5,0.06252559524103006,0.9789081028805636,0.0966326142330952,0.9747149687385068
6,0.019580443196025088,0.993990190886274,0.04352782281412544,0.9877712394262597
7,0.011185620715993693,0.9963618780077828,0.035679681890079994,0.9899779330636264
8,0.00827419964467146,0.9973289737272328,0.03377501439106765,0.9911732254505333
9,0.007107527597645161,0.9976513389670496,0.0305753037656617,0.9927363001103348
10,0.00560207423930119,0.9980658085610996,0.019331549887881553,0.9947591026112542
11,0.004487180669213997,0.9985954085979414,0.018931835111591203,0.9948510481794778
12,0.0034479855772347762,0.9988947477491997,0.0282729838801141,0.9930121368150056
13,0.0028049014008633432,0.9992631651661331,0.021625395566939508,0.9943913203383598
14,0.0026198638932407024,0.9991710608118998,0.019151409306307474,0.9949429937477013
15,0.0023704970653250714,0.9993092173432498,0.03919130239297158,0.9936557557925708
16,0.002598912678745599,0.9993092173432498,0.021398599181133415,0.9954027215888195
17,0.0026044806493341795,0.9992631651661331,0.029847890445527544,0.9936557557925708
18,0.0020654877553958344,0.9992861912546915,0.019430445261237925,0.9953107760205958
19,0.002601321911967676,0.9990098781919915,0.03307070312103363,0.9932879735196763
20,0.002852807051653075,0.9991019825462248,0.055505709224605654,0.9935638102243473
21,0.0023119712057575862,0.9991710608118998,0.026977446367305084,0.995034939315925
